IE_XML_ID;RECOMMEND;NNT;
15090;42587;
15092;42586;
15094;42598;
15412;20209;
15412;20209;
15413;38313;
15413;38313;
15503;39018;
15504;39021;
15738;42585;
15746;42595;
15746;42595;
15748;38679;
15750;42597;
15750;42597;
15752;42589;
15755;42594;
15755;42594;
15756;42588;
15757;42591;
15757;42591;
15796;38307;
16041;37475;
16067;38314;
16067;38314;
16086;37225;
16240;37227;
16244;37219;
16244;37219;
16244;37219;
16337;39019;
16478;37474;
16488;38366;
16489;37223;
16489;37223;
16653;38681;
16654;42596;
16655;38325;
16820;38324;
17133;38678;
17141;37476;
17173;37230;
17190;20259;
17191;26848;
17192;22365;
17193;22357;
17194;20410;
17195;22355;
17196;35525;
17197;22354;
17198;20081;
17199;20547;
17200;22597;
17201;20417;
17202;37203;
17203;37229;
17204;37232;
17205;37231;
17207;37234;
17207;37234;
17208;20747;
17428;38310;
17428;38310;
17429;38309;
17429;38309;
17429;38309;
17430;37461;
17430;37461;
17475;22395;
17491;32106;
17492;25447;
17493;36618;
17494;36304;
17495;37179;
17547;22394;
18307;38328;
18312;38308;
18312;38308;
18566;20414;
18567;22258;
18568;22282;
18569;22329;
18572;22371;
18573;22363;
18574;20415;
18575;22340;
18576;35140;
18577;33855;
18578;27875;
18579;33626;
18580;38320;
18581;20271;
18582;35245;
18586;22344;
18587;22321;
18588;34131;
18589;22334;
18590;38106;
18651;22333;
18658;38683;
18658;38683;
18809;39037;
18809;39037;
18822;38501;
18823;22124;
18824;20437;
18825;35384;
18826;35380;
18827;35126;
18851;38528;
18852;38529;
18864;22312;
18866;22313;
18884;22656;
18885;38547;
18886;20035;
18887;38548;
18888;22336;
18953;37227;
18953;37227;
19185;37172;
19186;36082;
19187;35048;
19188;36745;
19189;33876;
19190;38372;
19191;21457;
19192;33875;
19193;20580;
19321;38767;
19334;21023;
19643;22277;
19644;20037;
19647;22657;
19647;22657;
19790;39191;
19830;39190;
19841;39189;
19890;21051;
19891;20421;
19892;20523;
19960;39122;
19961;22351;
19967;39125;
20053;38490;
20070;39020;
20071;35894;
20072;39022;
20073;22598;
20074;35893;
20075;29987;
20220;39462;
20221;39461;
20242;49437;
20279;49438;
20470;33831;
20471;36075;
20474;35589;
20475;32097;
20476;22670;
20477;36090;
20478;31422;
20479;22116;
20480;36089;
20481;22060;
20482;36088;
20483;34594;
20484;20784;
20485;22061;
20486;36084;
20487;36746;
20488;20350;
20620;49439;
20685;39484;
20686;49315;
20687;42246;
