IE_XML_ID;IE_NAME;IE_DETAIL_TEXT_TYPE;IE_DETAIL_TEXT;IE_DISABLED;IE_CODE;IP_PROP129;
4593;Николай Дорошенко;html;;0;nikolay-doroshenko;Дорошенко;
9263;Рид Джепсон;html;Рид Дженсон, людина, основне багатство якої це життєвий досвід і знання Біблії, яка пройшла крізь випробування і горе разом зі своїм Спасителем.<br />Рид закінчив Біблійний коледж Прайері і Чарльстонський університет, багато років свого життя віддав пасторському служінню, місіонерській діяльності, радіопроповідуванню. Він та людина, якій є чим поділитись з нами, щоб надихнути нас і допомогти залишатися відданими Господу так само, як і Бог допоміг Риду залишатися вірним Йому впродовж багатьох років. Тож нехай Рид допоможе спрямовувати ваші думки кожного дня, коли ви будете шукати небесну їжу для свого серця, для свого життя.<br />;0;rid-dzhepson;Джепсон;
9264;переклад Івана Огієнка;html;;0;pereklad-іvana-ogіienka;Івана Огієнка;
