IE_XML_ID;IE_NAME;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_ACTIVE;IP_PROP44;IP_PROP45;IP_PROP46;IP_PROP47;IP_PROP48;IP_PROP49;IP_PROP52;IP_PROP53;IP_PROP6;IP_PROP4;CV_PRICE_1;IP_PROP81;CP_QUANTITY;IP_PROP114;IP_PROP130;IP_PROP131;CP_WEIGHT;IC_GROUP0;IC_GROUP1;IC_GROUP2;IC_ORIG_NAME;RECOMMEND;IE_CODE;IC_CODE0;IC_CODE1;IC_CODE2;IE_DETAIL_PICTURE;IE_PREVIEW_PICTURE;CV_CURRENCY_1;IP_PROP7;
21337;Біблія 047 (Біблійна Ліга);Біблія (чорна)<br />Біблія або Книги Святого Письма Старого та Нового Заповіту. Із мови давньоєврейської й грецької на українську дослівно наново перекладена.<br />Переклад професора Івана Огієнка.;html;Y;переклад Івана Огієнка;Библейская лига;2014;60х90/32 (115х180 мм);978-966-412-096-5;Твердый;1523;;0;0;90.00;0.00;2;0;;0;0;Книги;Библия/Писания;Библии на украинском языке;;;bіblіya-047-bіblіyna-lіga-;knigi;bibliya-pisaniya;biblii-na-ukrainskom-yazike;;;UAH;21337;
21336;Словник біблійних слів;В унікальному виданні для щоденного читання ”Словнику Біблійних слів” Рида Джепсона увага читачів зосереджується на важливих словах і поняттях Слова Божого.<br />Ці нотатки, які спочатку складалися для коротких програм міжнародного радіо, допоможуть вам краще пізнати Бога, і у вас з”явиться бажання служити Йому ще з більшою відданістю. Як молоді віруючі, так і сивоголові християни, знайдуть у цій книзі істини, які стимулюватимуть їх мислення і підбадьорять кожного в ці нелегкі часи сьогодення.<br />;html;Y;Рид Джепсон;Християнське життя;2010;64х90/16 (150х210 мм);0-939494-31;Мягкий;208;;0;0;20.00;0.00;1;0;9263;0;250;Книги;Библеистика;Словари/справочники;;;slovnik-bіblіynih-slіv-;knigi;bibleistika;slovari-spravochniki;;;UAH;21336;
18602;"Полум""яні серця";Прощальні слова батька Тари породили в голові шістнадцятирічної дівчини лише одну думку: вона повинна рятувати своє життя. Побита до напівсмерті, Тара, дочка відомого пакистанського мусульманського діяча, була замкнена у своїй кімнаті, немов в’язень, без їжі та медичної допомоги.<br />Так трапилося через те, що її спіймали за читанням Біблії.<br />Життєва історія Тари не унікальна серед розповідей про вісім відважних жінок, які ви знайдете в цій книзі. Від молодої в’єтнамської дівчини, яка відмовляється від свободи задля того, щоб нести Добру Новину людям на своїй комуністичній батьківщині, до австралійської місіонерки, яка поширює Індією звістку про прощення та зцілення після того, як її чоловіка і синів живцем спалили релігійні фанатики, - усі ці жінки пройшли надзвичайні випробування, щоб перетворитися на лідерів і служителів підпільної церкви у різних країнах світу.<br /><br />”Голос мучеників” розповідає реальні життєві історії мужніх християнок, героїнь віри, які представляють ту незліченну кількість жінок, які переживають подібні переслідування по всьому світу. Ми молимось, щоб ці приклади віри й духовної відваги надихнули Вас служити Христові з полум’яним серцем незалежно від ціни, яку доведеться сплатити.<br />Жінки завжди відігравали важливу роль у справі Христа. ”Полум’яні серця” розповідають про служіння восьми християнок, які продовжують свідкувати світові про те, що Він воскрес і що з Його воскресінням приходить любов, благодать і прощення. Не пропустіть цього!<br />;html;Y;;Християнське життя;2013;62х88/32 (140х210 мм);978-617-503-086-8;Мягкий;272;;0;0;49.00;0.00;1;0;;3;310;Книги;Публицистика;Свидетельства;;;polumyanі-sertsya-;knigi;publitsistika;svidetelstva;;;UAH;18602;
13821;Лекції з систематичної теології;"Упродовж 30 років ""Лекції з систематичної теології"" д-ра Тіссена використовувалися як зразковий підручник у біблійних інститутах, коледжах і семінаріях у Сполучених Штатах Америки й усьому англомовному світі. Безсумнівно, широке схвалення, яким відзначається цей твір, було частково завдяки ретельному і всебічному вживанню Святого Писання, його диспенсаційному підходу до теології.<br />У світлі сучасних богословських напрямів і наголошувань та нещодавніх досліджень у різних галузях бібліознавства, осучаснення матеріалу здається виправданим.";html;Y;Генрі Тіссен;Авторское издание;2001;60х94/16 (145х220 мм);966-7450-45-7;Твердый;440;;0;0;49.00;0.00;1;0;1621;26;760;Книги;Богословие;Систематическое богословие;;;lektsіi-z-sistematichnoi-teologіi-;knigi;bogoslovie;sistematicheskoe-bogoslovie;;;UAH;13821;
13821;Лекції з систематичної теології;"Упродовж 30 років ""Лекції з систематичної теології"" д-ра Тіссена використовувалися як зразковий підручник у біблійних інститутах, коледжах і семінаріях у Сполучених Штатах Америки й усьому англомовному світі. Безсумнівно, широке схвалення, яким відзначається цей твір, було частково завдяки ретельному і всебічному вживанню Святого Писання, його диспенсаційному підходу до теології.<br />У світлі сучасних богословських напрямів і наголошувань та нещодавніх досліджень у різних галузях бібліознавства, осучаснення матеріалу здається виправданим.";html;Y;Генрі Тіссен;Авторское издание;2001;60х94/16 (145х220 мм);966-7450-45-7;Твердый;440;;0;0;49.00;0.00;2;0;1621;26;760;Книги;Богословие;Систематическое богословие;;;lektsіi-z-sistematichnoi-teologіi-;knigi;bogoslovie;sistematicheskoe-bogoslovie;;;UAH;13821;
